Target Image: IS-blackhole
Final Best MSE: 1354.54
--------------------------------
Evolutionary History for IS-blackhole
=========================================
Generation 0 | MSE: 8047.74 | Genotype: 
Layer 1 -> c: 0.097+0.654i | Offset X/Y: 0.41/-0.32 | Zoom: 0.71
Layer 2 -> c: 0.251+0.319i | Offset X/Y: 0.26/-0.44 | Zoom: 1.43
Layer 3 -> c: -0.108+0.556i | Offset X/Y: -0.12/0.04 | Zoom: 2.00
Layer 4 -> c: -0.176-0.051i | Offset X/Y: 0.22/0.25 | Zoom: 1.37
Layer 5 -> c: -0.467+0.478i | Offset X/Y: 0.01/0.04 | Zoom: 0.53
Layer 6 -> c: -0.783-0.147i | Offset X/Y: 0.33/-0.19 | Zoom: 0.62
Layer 7 -> c: -0.226-0.571i | Offset X/Y: -0.12/0.39 | Zoom: 1.05
Layer 8 -> c: -0.463-0.624i | Offset X/Y: -0.01/0.10 | Zoom: 1.28

Generation 1 | MSE: 6649.08 | Genotype: 
Layer 1 -> c: -0.395-0.751i | Offset X/Y: 0.39/0.49 | Zoom: 0.24
Layer 2 -> c: -0.986+0.335i | Offset X/Y: 0.50/0.07 | Zoom: 0.40
Layer 3 -> c: -0.328+0.942i | Offset X/Y: -0.35/0.16 | Zoom: 0.82
Layer 4 -> c: -0.620-0.457i | Offset X/Y: 0.35/-0.09 | Zoom: 0.66
Layer 5 -> c: 0.217+0.533i | Offset X/Y: -0.13/0.19 | Zoom: 0.59
Layer 6 -> c: -0.998+0.743i | Offset X/Y: -0.22/0.62 | Zoom: 1.01
Layer 7 -> c: -0.313+0.114i | Offset X/Y: 0.02/-0.17 | Zoom: 2.37
Layer 8 -> c: 1.000-0.707i | Offset X/Y: -0.36/-0.29 | Zoom: 1.22

Generation 2 | MSE: 5139.39 | Genotype: 
Layer 1 -> c: -0.427-0.721i | Offset X/Y: -0.93/0.30 | Zoom: 1.52
Layer 2 -> c: -0.240+0.270i | Offset X/Y: -0.02/-0.04 | Zoom: 2.36
Layer 3 -> c: 0.007-0.366i | Offset X/Y: 0.33/-0.42 | Zoom: 0.72
Layer 4 -> c: -0.636-0.407i | Offset X/Y: 0.16/-0.31 | Zoom: 0.28
Layer 5 -> c: 0.371-1.000i | Offset X/Y: -0.57/-0.64 | Zoom: 1.17
Layer 6 -> c: -0.112+0.233i | Offset X/Y: 0.69/-0.33 | Zoom: 2.48
Layer 7 -> c: -0.620+0.656i | Offset X/Y: -0.72/-0.01 | Zoom: 0.84
Layer 8 -> c: 0.055-0.591i | Offset X/Y: -0.63/0.21 | Zoom: 0.70

Generation 3 | MSE: 5107.99 | Genotype: 
Layer 1 -> c: 0.138-0.265i | Offset X/Y: -0.07/-0.46 | Zoom: 0.31
Layer 2 -> c: -0.201+0.841i | Offset X/Y: 0.11/-0.00 | Zoom: 0.79
Layer 3 -> c: -0.679-0.371i | Offset X/Y: 0.57/-0.16 | Zoom: 0.58
Layer 4 -> c: 0.257+0.560i | Offset X/Y: 0.13/0.15 | Zoom: 0.66
Layer 5 -> c: 0.424+0.257i | Offset X/Y: -0.68/-0.18 | Zoom: 1.39
Layer 6 -> c: -0.346+0.465i | Offset X/Y: -0.83/0.81 | Zoom: 0.69
Layer 7 -> c: 0.267+0.024i | Offset X/Y: 0.38/0.43 | Zoom: 0.89
Layer 8 -> c: -0.338-0.257i | Offset X/Y: 0.28/0.27 | Zoom: 0.75

Generation 4 | MSE: 4504.90 | Genotype: 
Layer 1 -> c: 0.485-0.265i | Offset X/Y: -0.61/-0.50 | Zoom: 2.06
Layer 2 -> c: 0.005-0.217i | Offset X/Y: 0.48/-0.07 | Zoom: 0.12
Layer 3 -> c: -0.896+0.455i | Offset X/Y: 0.58/0.48 | Zoom: 0.10
Layer 4 -> c: -0.035-0.620i | Offset X/Y: 0.00/0.07 | Zoom: 0.10
Layer 5 -> c: -0.332+1.000i | Offset X/Y: -0.57/0.43 | Zoom: 1.37
Layer 6 -> c: 0.044+0.028i | Offset X/Y: 0.74/0.53 | Zoom: 1.34
Layer 7 -> c: -0.348+0.967i | Offset X/Y: -0.20/-0.09 | Zoom: 0.47
Layer 8 -> c: 0.218+0.468i | Offset X/Y: 0.40/0.38 | Zoom: 0.99

Generation 5 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 6 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 7 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 8 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 9 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 10 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 11 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 12 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
