Target Image: blackhole2
Final Best MSE: 1073.98
--------------------------------
Evolutionary History for blackhole2
=========================================
Generation 0 | MSE: 3845.80 | Genotype: 
Layer 1 -> c: -0.837-0.320i | Offset X/Y: -0.36/0.45 | Zoom: 0.82
Layer 2 -> c: -0.617-0.605i | Offset X/Y: 0.38/0.44 | Zoom: 2.30
Layer 3 -> c: -0.986+0.907i | Offset X/Y: -0.17/0.24 | Zoom: 0.71
Layer 4 -> c: -0.191-0.767i | Offset X/Y: -0.07/-0.45 | Zoom: 2.42
Layer 5 -> c: 0.080-0.430i | Offset X/Y: -0.21/-0.50 | Zoom: 2.39
Layer 6 -> c: -0.119+0.741i | Offset X/Y: -0.26/0.33 | Zoom: 0.61

Generation 1 | MSE: 2897.59 | Genotype: 
Layer 1 -> c: 0.320-0.710i | Offset X/Y: -0.43/-0.11 | Zoom: 2.29
Layer 2 -> c: -0.623-1.000i | Offset X/Y: -0.28/0.46 | Zoom: 0.32
Layer 3 -> c: 1.000+0.760i | Offset X/Y: -0.04/0.22 | Zoom: 0.51
Layer 4 -> c: -0.546+0.301i | Offset X/Y: -0.04/-0.38 | Zoom: 1.00
Layer 5 -> c: -0.138-0.879i | Offset X/Y: -0.26/-0.85 | Zoom: 0.27
Layer 6 -> c: 0.007-0.897i | Offset X/Y: 0.83/-0.70 | Zoom: 1.91

Generation 2 | MSE: 2757.59 | Genotype: 
Layer 1 -> c: 1.000+0.343i | Offset X/Y: -0.65/0.40 | Zoom: 0.66
Layer 2 -> c: -0.508-0.172i | Offset X/Y: 0.77/-0.40 | Zoom: 0.10
Layer 3 -> c: -0.975+0.821i | Offset X/Y: 0.20/-0.13 | Zoom: 0.89
Layer 4 -> c: 0.077-0.001i | Offset X/Y: 0.13/-0.14 | Zoom: 0.53
Layer 5 -> c: 0.159-0.061i | Offset X/Y: -0.08/0.06 | Zoom: 0.23
Layer 6 -> c: 0.081+0.155i | Offset X/Y: -0.77/-0.04 | Zoom: 2.95

Generation 3 | MSE: 2619.81 | Genotype: 
Layer 1 -> c: -1.000-0.878i | Offset X/Y: -0.75/0.32 | Zoom: 0.60
Layer 2 -> c: 0.238+0.790i | Offset X/Y: 0.08/1.14 | Zoom: 1.06
Layer 3 -> c: -0.157+0.903i | Offset X/Y: 0.67/-0.12 | Zoom: 0.35
Layer 4 -> c: -0.191-0.314i | Offset X/Y: -0.15/0.11 | Zoom: 0.21
Layer 5 -> c: -0.236-1.000i | Offset X/Y: -0.16/0.25 | Zoom: 0.43
Layer 6 -> c: 0.909+0.173i | Offset X/Y: -0.23/-0.76 | Zoom: 1.05

Generation 4 | MSE: 2619.81 | Genotype: 
Layer 1 -> c: -1.000-0.878i | Offset X/Y: -0.75/0.32 | Zoom: 0.60
Layer 2 -> c: 0.238+0.790i | Offset X/Y: 0.08/1.14 | Zoom: 1.06
Layer 3 -> c: -0.157+0.903i | Offset X/Y: 0.67/-0.12 | Zoom: 0.35
Layer 4 -> c: -0.191-0.314i | Offset X/Y: -0.15/0.11 | Zoom: 0.21
Layer 5 -> c: -0.236-1.000i | Offset X/Y: -0.16/0.25 | Zoom: 0.43
Layer 6 -> c: 0.909+0.173i | Offset X/Y: -0.23/-0.76 | Zoom: 1.05

Generation 5 | MSE: 2374.24 | Genotype: 
Layer 1 -> c: 0.394+0.050i | Offset X/Y: 0.05/-0.58 | Zoom: 1.18
Layer 2 -> c: -0.529-1.000i | Offset X/Y: -1.17/0.53 | Zoom: 0.61
Layer 3 -> c: -1.000-0.699i | Offset X/Y: -0.09/-0.18 | Zoom: 0.45
Layer 4 -> c: 0.639+0.223i | Offset X/Y: 0.35/1.15 | Zoom: 0.49
Layer 5 -> c: -0.363+0.885i | Offset X/Y: 0.48/-1.10 | Zoom: 0.10
Layer 6 -> c: 0.137-0.352i | Offset X/Y: 0.52/-0.34 | Zoom: 0.65

Generation 6 | MSE: 2230.34 | Genotype: 
Layer 1 -> c: 0.209+0.156i | Offset X/Y: -1.35/0.10 | Zoom: 1.11
Layer 2 -> c: -1.000+0.444i | Offset X/Y: -1.31/0.06 | Zoom: 1.79
Layer 3 -> c: -0.853+0.608i | Offset X/Y: 0.54/0.33 | Zoom: 0.85
Layer 4 -> c: -0.889-0.314i | Offset X/Y: 0.96/0.21 | Zoom: 0.42
Layer 5 -> c: 0.650-0.771i | Offset X/Y: -0.52/0.74 | Zoom: 0.67
Layer 6 -> c: -1.000+0.598i | Offset X/Y: 0.41/0.31 | Zoom: 0.35

Generation 7 | MSE: 2159.97 | Genotype: 
Layer 1 -> c: 0.672+0.216i | Offset X/Y: 0.47/-0.04 | Zoom: 0.58
Layer 2 -> c: -0.397-1.000i | Offset X/Y: -0.22/0.10 | Zoom: 0.51
Layer 3 -> c: -0.697+1.000i | Offset X/Y: 0.75/0.58 | Zoom: 0.56
Layer 4 -> c: 0.353+1.000i | Offset X/Y: 0.23/-0.45 | Zoom: 1.08
Layer 5 -> c: -0.731-1.000i | Offset X/Y: -1.26/0.95 | Zoom: 0.46
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 8 | MSE: 2159.97 | Genotype: 
Layer 1 -> c: 0.672+0.216i | Offset X/Y: 0.47/-0.04 | Zoom: 0.58
Layer 2 -> c: -0.397-1.000i | Offset X/Y: -0.22/0.10 | Zoom: 0.51
Layer 3 -> c: -0.697+1.000i | Offset X/Y: 0.75/0.58 | Zoom: 0.56
Layer 4 -> c: 0.353+1.000i | Offset X/Y: 0.23/-0.45 | Zoom: 1.08
Layer 5 -> c: -0.731-1.000i | Offset X/Y: -1.26/0.95 | Zoom: 0.46
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 9 | MSE: 2159.97 | Genotype: 
Layer 1 -> c: 0.672+0.216i | Offset X/Y: 0.47/-0.04 | Zoom: 0.58
Layer 2 -> c: -0.397-1.000i | Offset X/Y: -0.22/0.10 | Zoom: 0.51
Layer 3 -> c: -0.697+1.000i | Offset X/Y: 0.75/0.58 | Zoom: 0.56
Layer 4 -> c: 0.353+1.000i | Offset X/Y: 0.23/-0.45 | Zoom: 1.08
Layer 5 -> c: -0.731-1.000i | Offset X/Y: -1.26/0.95 | Zoom: 0.46
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 10 | MSE: 2159.97 | Genotype: 
Layer 1 -> c: 0.672+0.216i | Offset X/Y: 0.47/-0.04 | Zoom: 0.58
Layer 2 -> c: -0.397-1.000i | Offset X/Y: -0.22/0.10 | Zoom: 0.51
Layer 3 -> c: -0.697+1.000i | Offset X/Y: 0.75/0.58 | Zoom: 0.56
Layer 4 -> c: 0.353+1.000i | Offset X/Y: 0.23/-0.45 | Zoom: 1.08
Layer 5 -> c: -0.731-1.000i | Offset X/Y: -1.26/0.95 | Zoom: 0.46
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 11 | MSE: 2159.97 | Genotype: 
