Target Image: blackhole
Final Best MSE: 643.20
--------------------------------
Evolutionary History for blackhole
=========================================
Generation 0 | MSE: 5807.06 | Genotype: 
Layer 1 -> c: -0.634+0.519i | Offset X/Y: -0.13/-0.35 | Zoom: 0.68
Layer 2 -> c: -0.006-0.218i | Offset X/Y: -0.15/-0.17 | Zoom: 0.89
Layer 3 -> c: -0.703-0.082i | Offset X/Y: 0.30/0.00 | Zoom: 1.39
Layer 4 -> c: -0.100+0.787i | Offset X/Y: 0.14/0.03 | Zoom: 2.40
Layer 5 -> c: 0.437-0.518i | Offset X/Y: -0.01/0.05 | Zoom: 0.72
Layer 6 -> c: -0.834-0.083i | Offset X/Y: -0.17/0.01 | Zoom: 1.44

Generation 1 | MSE: 3709.16 | Genotype: 
Layer 1 -> c: -0.633+0.550i | Offset X/Y: 0.01/-0.46 | Zoom: 0.72
Layer 2 -> c: -0.494+0.110i | Offset X/Y: 0.61/-0.38 | Zoom: 0.77
Layer 3 -> c: -0.841+0.338i | Offset X/Y: 0.32/-0.41 | Zoom: 0.67
Layer 4 -> c: -0.218-0.076i | Offset X/Y: 0.39/-0.03 | Zoom: 1.91
Layer 5 -> c: 0.983-0.286i | Offset X/Y: 0.01/0.48 | Zoom: 0.41
Layer 6 -> c: -0.003-0.623i | Offset X/Y: 0.45/-0.12 | Zoom: 1.73

Generation 2 | MSE: 2552.85 | Genotype: 
Layer 1 -> c: -1.000-0.215i | Offset X/Y: 0.38/0.10 | Zoom: 0.50
Layer 2 -> c: -0.417+0.471i | Offset X/Y: -0.22/-0.04 | Zoom: 0.90
Layer 3 -> c: -0.161+0.316i | Offset X/Y: 0.47/0.01 | Zoom: 0.33
Layer 4 -> c: -0.312+0.231i | Offset X/Y: -0.30/0.36 | Zoom: 2.63
Layer 5 -> c: 0.847-0.475i | Offset X/Y: -0.17/-0.03 | Zoom: 0.11
Layer 6 -> c: -0.726+0.110i | Offset X/Y: 0.21/-0.79 | Zoom: 2.53

Generation 3 | MSE: 2130.91 | Genotype: 
Layer 1 -> c: -1.000+0.247i | Offset X/Y: -0.16/-0.42 | Zoom: 1.15
Layer 2 -> c: 0.365+0.522i | Offset X/Y: -0.05/0.34 | Zoom: 0.90
Layer 3 -> c: -0.832+0.019i | Offset X/Y: 0.05/-0.47 | Zoom: 0.60
Layer 4 -> c: 0.012+0.800i | Offset X/Y: 0.67/0.51 | Zoom: 0.59
Layer 5 -> c: -1.000+0.230i | Offset X/Y: 0.57/0.50 | Zoom: 0.67
Layer 6 -> c: -0.414-0.441i | Offset X/Y: 0.35/0.36 | Zoom: 0.17

Generation 4 | MSE: 1985.18 | Genotype: 
Layer 1 -> c: -1.000+0.219i | Offset X/Y: -0.67/0.42 | Zoom: 0.55
Layer 2 -> c: 0.376+0.732i | Offset X/Y: 0.07/1.33 | Zoom: 0.95
Layer 3 -> c: 0.150+0.511i | Offset X/Y: 0.19/0.22 | Zoom: 0.29
Layer 4 -> c: 0.067+0.498i | Offset X/Y: 0.25/0.76 | Zoom: 0.33
Layer 5 -> c: -1.000-0.106i | Offset X/Y: -0.53/-0.28 | Zoom: 0.10
Layer 6 -> c: -0.396-0.037i | Offset X/Y: 0.13/0.83 | Zoom: 1.68

Generation 5 | MSE: 1748.73 | Genotype: 
Layer 1 -> c: 0.095+0.931i | Offset X/Y: 1.03/0.54 | Zoom: 0.32
Layer 2 -> c: -0.152+0.698i | Offset X/Y: 0.59/0.21 | Zoom: 2.42
Layer 3 -> c: -0.135+0.106i | Offset X/Y: -0.10/0.38 | Zoom: 0.52
Layer 4 -> c: 0.789-0.633i | Offset X/Y: -0.19/0.51 | Zoom: 0.37
