Target Image: butterfly_nebula
Final Best MSE: 744.45
--------------------------------
Evolutionary History for butterfly_nebula
=========================================
Generation 0 | MSE: 6546.82 | Genotype: 
Layer 1 -> c: 0.298-0.382i | Offset X/Y: -0.17/0.02 | Zoom: 0.96
Layer 2 -> c: 0.128+0.145i | Offset X/Y: -0.16/0.07 | Zoom: 2.37
Layer 3 -> c: -0.517+0.096i | Offset X/Y: -0.43/0.21 | Zoom: 2.17
Layer 4 -> c: -0.713-0.019i | Offset X/Y: 0.31/0.01 | Zoom: 1.96
Layer 5 -> c: -0.769-0.653i | Offset X/Y: 0.06/-0.42 | Zoom: 0.57
Layer 6 -> c: 0.904+0.024i | Offset X/Y: 0.42/-0.20 | Zoom: 0.89
Layer 7 -> c: -0.107+0.631i | Offset X/Y: -0.00/0.44 | Zoom: 0.66
Layer 8 -> c: 0.170-0.291i | Offset X/Y: 0.33/0.23 | Zoom: 1.46

Generation 1 | MSE: 5259.56 | Genotype: 
Layer 1 -> c: -0.645+0.267i | Offset X/Y: 0.81/-0.47 | Zoom: 0.96
Layer 2 -> c: -0.319-0.231i | Offset X/Y: 0.12/-0.15 | Zoom: 0.18
Layer 3 -> c: 0.263+0.768i | Offset X/Y: -0.20/0.22 | Zoom: 0.35
Layer 4 -> c: -0.438-0.466i | Offset X/Y: -0.26/-0.07 | Zoom: 1.36
Layer 5 -> c: -0.141-0.766i | Offset X/Y: -0.25/0.11 | Zoom: 1.76
Layer 6 -> c: 0.057+0.748i | Offset X/Y: -0.21/0.47 | Zoom: 0.58
Layer 7 -> c: -0.082+0.995i | Offset X/Y: 0.43/-0.59 | Zoom: 1.89
Layer 8 -> c: 0.213-0.204i | Offset X/Y: -0.24/-0.24 | Zoom: 0.71

Generation 2 | MSE: 2458.30 | Genotype: 
Layer 1 -> c: -0.333-0.917i | Offset X/Y: 0.24/-0.70 | Zoom: 0.25
Layer 2 -> c: -0.487-0.362i | Offset X/Y: -0.15/-0.04 | Zoom: 0.26
Layer 3 -> c: 0.090+0.519i | Offset X/Y: -0.37/-0.07 | Zoom: 0.47
Layer 4 -> c: -0.815+0.362i | Offset X/Y: 0.23/0.19 | Zoom: 0.58
Layer 5 -> c: 0.928-1.000i | Offset X/Y: 0.36/0.67 | Zoom: 1.35
Layer 6 -> c: -0.387+0.588i | Offset X/Y: -0.52/0.13 | Zoom: 1.19
Layer 7 -> c: -0.049+0.498i | Offset X/Y: 0.58/0.31 | Zoom: 0.20
Layer 8 -> c: -0.602+0.416i | Offset X/Y: -0.25/-0.24 | Zoom: 0.92

Generation 3 | MSE: 2458.30 | Genotype: 
Layer 1 -> c: -0.333-0.917i | Offset X/Y: 0.24/-0.70 | Zoom: 0.25
Layer 2 -> c: -0.487-0.362i | Offset X/Y: -0.15/-0.04 | Zoom: 0.26
Layer 3 -> c: 0.090+0.519i | Offset X/Y: -0.37/-0.07 | Zoom: 0.47
Layer 4 -> c: -0.815+0.362i | Offset X/Y: 0.23/0.19 | Zoom: 0.58
Layer 5 -> c: 0.928-1.000i | Offset X/Y: 0.36/0.67 | Zoom: 1.35
Layer 6 -> c: -0.387+0.588i | Offset X/Y: -0.52/0.13 | Zoom: 1.19
Layer 7 -> c: -0.049+0.498i | Offset X/Y: 0.58/0.31 | Zoom: 0.20
Layer 8 -> c: -0.602+0.416i | Offset X/Y: -0.25/-0.24 | Zoom: 0.92

Generation 4 | MSE: 2458.30 | Genotype: 
Layer 1 -> c: -0.333-0.917i | Offset X/Y: 0.24/-0.70 | Zoom: 0.25
Layer 2 -> c: -0.487-0.362i | Offset X/Y: -0.15/-0.04 | Zoom: 0.26
Layer 3 -> c: 0.090+0.519i | Offset X/Y: -0.37/-0.07 | Zoom: 0.47
Layer 4 -> c: -0.815+0.362i | Offset X/Y: 0.23/0.19 | Zoom: 0.58
Layer 5 -> c: 0.928-1.000i | Offset X/Y: 0.36/0.67 | Zoom: 1.35
Layer 6 -> c: -0.387+0.588i | Offset X/Y: -0.52/0.13 | Zoom: 1.19
Layer 7 -> c: -0.049+0.498i | Offset X/Y: 0.58/0.31 | Zoom: 0.20
Layer 8 -> c: -0.602+0.416i | Offset X/Y: -0.25/-0.24 | Zoom: 0.92

Generation 5 | MSE: 2325.16 | Genotype: 
Layer 1 -> c: -1.000-0.148i | Offset X/Y: -1.37/-0.62 | Zoom: 0.63
Layer 2 -> c: 0.420+0.443i | Offset X/Y: -0.26/-0.45 | Zoom: 0.10
Layer 3 -> c: 0.841+0.315i | Offset X/Y: 1.11/0.28 | Zoom: 0.35
Layer 4 -> c: -0.209+0.930i | Offset X/Y: -0.05/0.14 | Zoom: 1.56
Layer 5 -> c: -0.236-1.000i | Offset X/Y: -0.30/-0.56 | Zoom: 0.12
Layer 6 -> c: -0.038-0.800i | Offset X/Y: -0.44/0.18 | Zoom: 0.25
Layer 7 -> c: -0.546+0.235i | Offset X/Y: 0.45/-0.09 | Zoom: 0.10
Layer 8 -> c: -0.481+0.174i | Offset X/Y: -0.09/0.02 | Zoom: 1.95

Generation 6 | MSE: 2069.10 | Genotype: 
Layer 1 -> c: -0.750+0.585i | Offset X/Y: -0.67/0.45 | Zoom: 0.10
Layer 2 -> c: -0.860+0.315i | Offset X/Y: -0.51/0.97 | Zoom: 0.25
Layer 3 -> c: -0.291+0.509i | Offset X/Y: -0.97/-0.43 | Zoom: 1.74
Layer 4 -> c: -0.735-0.082i | Offset X/Y: 0.01/-0.06 | Zoom: 0.16
Layer 5 -> c: -0.149-0.490i | Offset X/Y: -0.19/0.37 | Zoom: 1.91
Layer 6 -> c: 0.177-0.747i | Offset X/Y: -0.84/-0.21 | Zoom: 0.83
Layer 7 -> c: -1.000+0.654i | Offset X/Y: 0.53/0.30 | Zoom: 0.27
Layer 8 -> c: -1.000-0.195i | Offset X/Y: -0.62/0.12 | Zoom: 0.25

Generation 7 | MSE: 1849.96 | Genotype: 
Layer 1 -> c: -0.305-0.897i | Offset X/Y: 0.58/-0.44 | Zoom: 0.10
Layer 2 -> c: -0.768+0.073i | Offset X/Y: -0.43/0.92 | Zoom: 0.50
Layer 3 -> c: 0.640-0.460i | Offset X/Y: -0.59/1.20 | Zoom: 0.19
Layer 4 -> c: -0.944-0.098i | Offset X/Y: 0.64/0.06 | Zoom: 0.77
Layer 5 -> c: 0.209+0.043i | Offset X/Y: -0.27/0.60 | Zoom: 0.18
Layer 6 -> c: -1.000+0.787i | Offset X/Y: 0.05/0.04 | Zoom: 0.94
Layer 7 -> c: 0.246-0.787i | Offset X/Y: -0.15/-0.33 | Zoom: 0.16
Layer 8 -> c: -0.034-0.188i | Offset X/Y: -0.44/0.59 | Zoom: 0.32

Generation 8 | MSE: 1849.96 | Genotype: 
Layer 1 -> c: -0.305-0.897i | Offset X/Y: 0.58/-0.44 | Zoom: 0.10
Layer 2 -> c: -0.768+0.073i | Offset X/Y: -0.43/0.92 | Zoom: 0.50
Layer 3 -> c: 0.640-0.460i | Offset X/Y: -0.59/1.20 | Zoom: 0.19
Layer 4 -> c: -0.944-0.098i | Offset X/Y: 0.64/0.06 | Zoom: 0.77
Layer 5 -> c: 0.209+0.043i | Offset X/Y: -0.27/0.60 | Zoom: 0.18
Layer 6 -> c: -1.000+0.787i | Offset X/Y: 0.05/0.04 | Zoom: 0.94
Layer 7 -> c: 0.246-0.787i | Offset X/Y: -0.15/-0.33 | Zoom: 0.16
Layer 8 -> c: -0.034-0.188i | Offset X/Y: -0.44/0.59 | Zoom: 0.32

Generation 9 | MSE: 1849.96 | Genotype: 
Layer 1 -> c: -0.305-0.897i | Offset X/Y: 0.58/-0.44 | Zoom: 0.10
Layer 2 -> c: -0.768+0.073i | Offset X/Y: -0.43/0.92 | Zoom: 0.50
Layer 3 -> c: 0.640-0.460i | Offset X/Y: -0.59/1.20 | Zoom: 0.19
Layer 4 -> c: -0.944-0.098i | Offset X/Y: 0.64/0.06 | Zoom: 0.77
Layer 5 -> c: 0.209+0.043i | Offset X/Y: -0.27/0.60 | Zoom: 0.18
Layer 6 -> c: -1.000+0.787i | Offset X/Y: 0.05/0.04 | Zoom: 0.94
Layer 7 -> c: 0.246-0.787i | Offset X/Y: -0.15/-0.33 | Zoom: 0.16
Layer 8 -> c: -0.034-0.188i | Offset X/Y: -0.44/0.59 | Zoom: 0.32

Generation 10 | MSE: 1849.96 | Genotype: 
Layer 1 -> c: -0.305-0.897i | Offset X/Y: 0.58/-0.44 | Zoom: 0.10
