Target Image: purple_lightning
Final Best MSE: 1152.86
--------------------------------
Evolutionary History for purple_lightning
=========================================
Generation 0 | MSE: 6319.32 | Genotype: 
Layer 1 -> c: -0.791+0.183i | Offset X/Y: 0.11/-0.29 | Zoom: 0.50
Layer 2 -> c: -0.167-0.509i | Offset X/Y: 0.19/-0.36 | Zoom: 1.30
Layer 3 -> c: -0.539-0.480i | Offset X/Y: -0.01/-0.27 | Zoom: 0.68
Layer 4 -> c: 0.279+0.675i | Offset X/Y: -0.31/0.23 | Zoom: 0.54
Layer 5 -> c: 0.951+0.753i | Offset X/Y: -0.33/-0.06 | Zoom: 1.71
Layer 6 -> c: -0.188+0.801i | Offset X/Y: -0.21/0.16 | Zoom: 2.07
Layer 7 -> c: 0.340-0.589i | Offset X/Y: -0.23/0.23 | Zoom: 0.75
Layer 8 -> c: -0.150-0.338i | Offset X/Y: 0.10/0.01 | Zoom: 1.63

Generation 1 | MSE: 5666.65 | Genotype: 
Layer 1 -> c: -0.498+0.029i | Offset X/Y: -0.34/-0.33 | Zoom: 0.63
Layer 2 -> c: -0.037+0.501i | Offset X/Y: -0.50/0.59 | Zoom: 0.77
Layer 3 -> c: 0.149+0.984i | Offset X/Y: -0.77/0.92 | Zoom: 0.66
Layer 4 -> c: -0.062-0.815i | Offset X/Y: 0.13/0.26 | Zoom: 1.24
Layer 5 -> c: -0.919+0.267i | Offset X/Y: -0.04/-0.13 | Zoom: 1.49
Layer 6 -> c: 0.356+0.049i | Offset X/Y: 0.36/-0.04 | Zoom: 1.36
Layer 7 -> c: -0.135-0.268i | Offset X/Y: 0.22/0.06 | Zoom: 2.30
Layer 8 -> c: 0.038+0.287i | Offset X/Y: -0.15/-0.36 | Zoom: 0.53

Generation 2 | MSE: 4536.01 | Genotype: 
Layer 1 -> c: -0.010-0.737i | Offset X/Y: -0.48/-0.26 | Zoom: 0.27
Layer 2 -> c: -0.610+0.018i | Offset X/Y: -0.23/0.27 | Zoom: 0.56
Layer 3 -> c: -0.656-0.388i | Offset X/Y: -0.18/-0.18 | Zoom: 0.48
Layer 4 -> c: 0.155+0.140i | Offset X/Y: 0.21/0.32 | Zoom: 2.72
Layer 5 -> c: 0.136-0.149i | Offset X/Y: -0.04/0.10 | Zoom: 2.21
Layer 6 -> c: -0.595-0.195i | Offset X/Y: 0.75/0.21 | Zoom: 0.85
Layer 7 -> c: -0.968+0.827i | Offset X/Y: -0.51/-0.17 | Zoom: 0.51
Layer 8 -> c: 0.373-0.050i | Offset X/Y: -0.03/0.85 | Zoom: 0.79

Generation 3 | MSE: 3532.47 | Genotype: 
Layer 1 -> c: 0.226+0.406i | Offset X/Y: 0.24/1.05 | Zoom: 0.20
Layer 2 -> c: -0.696-0.258i | Offset X/Y: 0.31/0.23 | Zoom: 1.20
Layer 3 -> c: -0.401-0.578i | Offset X/Y: -0.88/0.11 | Zoom: 1.05
Layer 4 -> c: -0.130+0.757i | Offset X/Y: -0.66/0.18 | Zoom: 0.57
Layer 5 -> c: 0.905+0.765i | Offset X/Y: -0.16/0.22 | Zoom: 0.77
Layer 6 -> c: 0.359-0.757i | Offset X/Y: -0.85/-0.04 | Zoom: 0.10
Layer 7 -> c: -0.081-0.072i | Offset X/Y: 0.68/0.09 | Zoom: 1.92
Layer 8 -> c: 0.217-0.512i | Offset X/Y: -0.42/-0.78 | Zoom: 1.25

Generation 4 | MSE: 3532.47 | Genotype: 
Layer 1 -> c: 0.226+0.406i | Offset X/Y: 0.24/1.05 | Zoom: 0.20
Layer 2 -> c: -0.696-0.258i | Offset X/Y: 0.31/0.23 | Zoom: 1.20
Layer 3 -> c: -0.401-0.578i | Offset X/Y: -0.88/0.11 | Zoom: 1.05
Layer 4 -> c: -0.130+0.757i | Offset X/Y: -0.66/0.18 | Zoom: 0.57
Layer 5 -> c: 0.905+0.765i | Offset X/Y: -0.16/0.22 | Zoom: 0.77
Layer 6 -> c: 0.359-0.757i | Offset X/Y: -0.85/-0.04 | Zoom: 0.10
Layer 7 -> c: -0.081-0.072i | Offset X/Y: 0.68/0.09 | Zoom: 1.92
Layer 8 -> c: 0.217-0.512i | Offset X/Y: -0.42/-0.78 | Zoom: 1.25

Generation 5 | MSE: 3411.02 | Genotype: 
Layer 1 -> c: -0.499-0.415i | Offset X/Y: -0.19/-0.33 | Zoom: 0.10
Layer 2 -> c: -0.019+0.094i | Offset X/Y: 0.03/0.19 | Zoom: 1.86
Layer 3 -> c: 0.183-0.023i | Offset X/Y: -0.33/-1.11 | Zoom: 0.28
Layer 4 -> c: -0.560-0.539i | Offset X/Y: -0.96/0.27 | Zoom: 2.16
