Target Image: skull
Final Best MSE: 3197.65
--------------------------------
Evolutionary History for skull
=========================================
Generation 0 | MSE: 8003.59 | Genotype: 
Layer 1 -> c: -0.717-0.014i | Offset X/Y: 0.19/-0.20 | Zoom: 0.54
Layer 2 -> c: 0.303-0.714i | Offset X/Y: 0.21/-0.31 | Zoom: 0.72
Layer 3 -> c: 0.367+0.374i | Offset X/Y: -0.26/0.48 | Zoom: 1.43
Layer 4 -> c: 0.569-0.802i | Offset X/Y: -0.36/0.09 | Zoom: 0.53
Layer 5 -> c: -0.192-0.497i | Offset X/Y: 0.39/-0.15 | Zoom: 1.53
Layer 6 -> c: -0.482+0.090i | Offset X/Y: 0.30/-0.05 | Zoom: 1.74
Layer 7 -> c: 0.157+0.317i | Offset X/Y: 0.41/0.24 | Zoom: 1.11
Layer 8 -> c: -0.043+0.898i | Offset X/Y: -0.49/0.14 | Zoom: 1.38

Generation 1 | MSE: 6812.00 | Genotype: 
Layer 1 -> c: -0.409+0.165i | Offset X/Y: -0.49/0.60 | Zoom: 0.50
Layer 2 -> c: 0.433-0.410i | Offset X/Y: -0.26/0.06 | Zoom: 1.51
Layer 3 -> c: -0.770-0.400i | Offset X/Y: 0.59/-0.26 | Zoom: 1.71
Layer 4 -> c: 0.500+0.195i | Offset X/Y: 0.49/-0.17 | Zoom: 0.94
Layer 5 -> c: 0.274+0.239i | Offset X/Y: 0.08/0.16 | Zoom: 0.68
Layer 6 -> c: 0.392+0.224i | Offset X/Y: -0.20/0.40 | Zoom: 0.42
Layer 7 -> c: -0.825-0.069i | Offset X/Y: -0.12/0.37 | Zoom: 0.93
Layer 8 -> c: -0.999-0.337i | Offset X/Y: -0.42/0.48 | Zoom: 1.30

Generation 2 | MSE: 6812.00 | Genotype: 
Layer 1 -> c: -0.409+0.165i | Offset X/Y: -0.49/0.60 | Zoom: 0.50
Layer 2 -> c: 0.433-0.410i | Offset X/Y: -0.26/0.06 | Zoom: 1.51
Layer 3 -> c: -0.770-0.400i | Offset X/Y: 0.59/-0.26 | Zoom: 1.71
Layer 4 -> c: 0.500+0.195i | Offset X/Y: 0.49/-0.17 | Zoom: 0.94
Layer 5 -> c: 0.274+0.239i | Offset X/Y: 0.08/0.16 | Zoom: 0.68
Layer 6 -> c: 0.392+0.224i | Offset X/Y: -0.20/0.40 | Zoom: 0.42
Layer 7 -> c: -0.825-0.069i | Offset X/Y: -0.12/0.37 | Zoom: 0.93
Layer 8 -> c: -0.999-0.337i | Offset X/Y: -0.42/0.48 | Zoom: 1.30

Generation 3 | MSE: 6295.47 | Genotype: 
Layer 1 -> c: 0.262+0.401i | Offset X/Y: -0.55/-0.73 | Zoom: 2.04
Layer 2 -> c: 0.627-0.559i | Offset X/Y: -0.52/0.23 | Zoom: 0.98
Layer 3 -> c: 0.207-0.053i | Offset X/Y: -0.27/-0.13 | Zoom: 2.25
Layer 4 -> c: -0.325+0.418i | Offset X/Y: -0.08/0.22 | Zoom: 0.60
Layer 5 -> c: -0.380+0.261i | Offset X/Y: -0.33/-0.20 | Zoom: 2.47
Layer 6 -> c: -0.667-0.450i | Offset X/Y: 0.06/-0.64 | Zoom: 0.27
Layer 7 -> c: -0.220-0.011i | Offset X/Y: 0.15/0.08 | Zoom: 2.32
Layer 8 -> c: 0.131+0.836i | Offset X/Y: -0.35/-0.29 | Zoom: 0.95

Generation 4 | MSE: 6295.47 | Genotype: 
Layer 1 -> c: 0.262+0.401i | Offset X/Y: -0.55/-0.73 | Zoom: 2.04
Layer 2 -> c: 0.627-0.559i | Offset X/Y: -0.52/0.23 | Zoom: 0.98
Layer 3 -> c: 0.207-0.053i | Offset X/Y: -0.27/-0.13 | Zoom: 2.25
Layer 4 -> c: -0.325+0.418i | Offset X/Y: -0.08/0.22 | Zoom: 0.60
Layer 5 -> c: -0.380+0.261i | Offset X/Y: -0.33/-0.20 | Zoom: 2.47
Layer 6 -> c: -0.667-0.450i | Offset X/Y: 0.06/-0.64 | Zoom: 0.27
Layer 7 -> c: -0.220-0.011i | Offset X/Y: 0.15/0.08 | Zoom: 2.32
Layer 8 -> c: 0.131+0.836i | Offset X/Y: -0.35/-0.29 | Zoom: 0.95

Generation 5 | MSE: 6023.80 | Genotype: 
Layer 1 -> c: -1.000+0.306i | Offset X/Y: 0.03/-0.85 | Zoom: 1.19
Layer 2 -> c: -0.013+0.495i | Offset X/Y: 1.18/-0.03 | Zoom: 1.00
Layer 3 -> c: 0.570+0.994i | Offset X/Y: -0.55/1.51 | Zoom: 1.15
Layer 4 -> c: -0.733+0.955i | Offset X/Y: -0.61/-0.50 | Zoom: 0.27
Layer 5 -> c: 0.130+0.547i | Offset X/Y: 0.21/1.67 | Zoom: 0.26
Layer 6 -> c: -0.803-0.239i | Offset X/Y: -0.14/-1.52 | Zoom: 0.29
Layer 7 -> c: 1.000-0.042i | Offset X/Y: -0.59/0.19 | Zoom: 0.69
Layer 8 -> c: -0.143-0.044i | Offset X/Y: 0.55/-0.30 | Zoom: 0.14

Generation 6 | MSE: 5963.44 | Genotype: 
Layer 1 -> c: 0.466-1.000i | Offset X/Y: -0.92/-0.57 | Zoom: 2.77
Layer 2 -> c: -0.203+0.767i | Offset X/Y: -0.46/0.56 | Zoom: 0.70
Layer 3 -> c: -0.000-0.015i | Offset X/Y: -0.05/0.29 | Zoom: 0.62
Layer 4 -> c: 0.321-0.648i | Offset X/Y: -0.46/0.39 | Zoom: 0.60
Layer 5 -> c: 0.095+0.320i | Offset X/Y: -0.32/-0.07 | Zoom: 0.10
Layer 6 -> c: -0.853-0.128i | Offset X/Y: 0.71/-0.19 | Zoom: 0.78
Layer 7 -> c: 0.355-0.467i | Offset X/Y: 0.30/-0.52 | Zoom: 0.21
Layer 8 -> c: -1.000+0.530i | Offset X/Y: -0.62/-0.01 | Zoom: 0.10

Generation 7 | MSE: 5963.44 | Genotype: 
Layer 1 -> c: 0.466-1.000i | Offset X/Y: -0.92/-0.57 | Zoom: 2.77
Layer 2 -> c: -0.203+0.767i | Offset X/Y: -0.46/0.56 | Zoom: 0.70
Layer 3 -> c: -0.000-0.015i | Offset X/Y: -0.05/0.29 | Zoom: 0.62
Layer 4 -> c: 0.321-0.648i | Offset X/Y: -0.46/0.39 | Zoom: 0.60
Layer 5 -> c: 0.095+0.320i | Offset X/Y: -0.32/-0.07 | Zoom: 0.10
Layer 6 -> c: -0.853-0.128i | Offset X/Y: 0.71/-0.19 | Zoom: 0.78
Layer 7 -> c: 0.355-0.467i | Offset X/Y: 0.30/-0.52 | Zoom: 0.21
Layer 8 -> c: -1.000+0.530i | Offset X/Y: -0.62/-0.01 | Zoom: 0.10

Generation 8 | MSE: 5963.44 | Genotype: 
Layer 1 -> c: 0.466-1.000i | Offset X/Y: -0.92/-0.57 | Zoom: 2.77
Layer 2 -> c: -0.203+0.767i | Offset X/Y: -0.46/0.56 | Zoom: 0.70
Layer 3 -> c: -0.000-0.015i | Offset X/Y: -0.05/0.29 | Zoom: 0.62
Layer 4 -> c: 0.321-0.648i | Offset X/Y: -0.46/0.39 | Zoom: 0.60
Layer 5 -> c: 0.095+0.320i | Offset X/Y: -0.32/-0.07 | Zoom: 0.10
Layer 6 -> c: -0.853-0.128i | Offset X/Y: 0.71/-0.19 | Zoom: 0.78
Layer 7 -> c: 0.355-0.467i | Offset X/Y: 0.30/-0.52 | Zoom: 0.21
Layer 8 -> c: -1.000+0.530i | Offset X/Y: -0.62/-0.01 | Zoom: 0.10

Generation 9 | MSE: 5794.16 | Genotype: 
Layer 1 -> c: 0.064-0.337i | Offset X/Y: -0.92/-0.57 | Zoom: 1.07
Layer 2 -> c: -0.903-0.060i | Offset X/Y: 0.36/0.56 | Zoom: 0.79
Layer 3 -> c: 0.402+0.714i | Offset X/Y: -0.05/1.51 | Zoom: 1.52
Layer 4 -> c: -0.106+0.978i | Offset X/Y: -0.25/1.53 | Zoom: 0.67
Layer 5 -> c: 0.217-0.059i | Offset X/Y: 0.06/-0.81 | Zoom: 0.37
Layer 6 -> c: 0.317-0.295i | Offset X/Y: 0.29/-0.09 | Zoom: 0.73
Layer 7 -> c: 0.063-0.044i | Offset X/Y: -0.82/1.01 | Zoom: 0.82
Layer 8 -> c: 0.692+0.091i | Offset X/Y: -0.95/-0.01 | Zoom: 0.92

Generation 10 | MSE: 5794.16 | Genotype: 
Layer 1 -> c: 0.064-0.337i | Offset X/Y: -0.92/-0.57 | Zoom: 1.07
Layer 2 -> c: -0.903-0.060i | Offset X/Y: 0.36/0.56 | Zoom: 0.79
Layer 3 -> c: 0.402+0.714i | Offset X/Y: -0.05/1.51 | Zoom: 1.52
